locusId	accession	GI	scaffoldId	start	stop	strand	sysName	name	desc	COG	COGFun	COGDesc	TIGRFam	TIGRRoles	GO	EC	ECDesc
3660229	YP_001481589.1	157414333	57174	15648	15001	-	C8J_0011	C8J_0011	non-haem iron protein (RefSeq)	COG1592	C	Rubrerythrin	TIGR00319 desulfoferrodoxin FeS4 iron-binding domain	Energy metabolism:Electron transport	GO:0006118,GO:0005506,GO:0009055		
3660230	YP_001481590.1	157414334	57174	15808	17484	+	C8J_0012	ilvD	dihydroxy-acid dehydratase (RefSeq)	COG129	EG	Dihydroxyacid dehydratase/phosphogluconate dehydratase	TIGR00110 dihydroxy-acid dehydratase [ilvD]	Amino acid biosynthesis:Pyruvate family	GO:0009082,GO:0004160	4.2.1.9	Dihydroxy-acid dehydratase.
3660231	YP_001481591.1	157414335	57174	18020	17496	-	C8J_0013	C8J_0013	putative integral membrane protein (RefSeq)	COG3477	S	Predicted periplasmic/secreted protein					
3660232	YP_001481592.1	157414336	57174	19338	18112	-	C8J_0014	C8J_0014	hypothetical protein (RefSeq)	COG1896	R	Predicted hydrolases of HD superfamily					
3660233	YP_001481593.1	157414337	57174	19415	20089	+	C8J_0015	C8J_0015	putative transcriptional regulatory protein (RefSeq)	COG603	R	Predicted PP-loop superfamily ATPase	TIGR00364 queuosine biosynthesis protein QueC [queC]	Unknown function:General	GO:0008033,GO:0005737,GO:0004808		
3660234	YP_001481594.1	157414338	57174	21636	20110	-	C8J_0016	C8J_0016	putative ATP/GTP binding protein (RefSeq)	COG1495	O	Disulfide bond formation protein DsbB			GO:0006118,GO:0016020,GO:0015035		
3660235	YP_001481595.1	157414339	57174	21815	21648	-	C8J_0017	C8J_0017	hypothetical protein (RefSeq)								
3660236	YP_001481596.1	157414340	57174	23699	21921	-	C8J_0018	C8J_0018	MCP-domain signal transduction protein (RefSeq)	COG840	NT	Methyl-accepting chemotaxis protein			GO:0006935,GO:0007165,GO:0016020,GO:0004871		
3660237	YP_001481597.1	157414341	57174	24603	23689	-	C8J_0019	C8J_0019	cytochrome C551 peroxidase (RefSeq)	COG1858	P	Cytochrome c peroxidase			GO:0006118,GO:0004130,GO:0020037,GO:0005506,GO:0009055	1.11.1.5	Cytochrome-c peroxidase.
3660238	YP_001481598.1	157414342	57174	25565	24699	-	C8J_0020	C8J_0020	fumarylacetoacetate hydrolase family protein (RefSeq)	COG179	Q	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)			GO:0008152,GO:0003824		
3660239	YP_001481599.1	157414343	57174	26522	25677	-	C8J_0021	C8J_0021	putative ribosomal pseudouridine synthase (RefSeq)	COG564	J	Pseudouridylate synthases, 23S RNA-specific			GO:0001522,GO:0016439,GO:0003723,GO:0004730,GO:0009982	4.2.1.70,5.4.99.12	Pseudouridylate synthase.,tRNA-pseudouridine synthase I.
3660240	YP_001481600.1	157414344	57174	26657	27985	+	C8J_0022	purB	adenylosuccinate lyase (RefSeq)	COG15	F	Adenylosuccinate lyase	TIGR00928 adenylosuccinate lyase [purB]	Purines, pyrimidines, nucleosides, and nucleotides:Purine ribonucleotide biosynthesis	GO:0009152,GO:0004018	4.3.2.2	Adenylosuccinate lyase.
3660241	YP_001481601.1	157414345	57174	28001	30370	+	C8J_0023	nrdA	ribonucleoside-diphosphate reductase alpha chain (RefSeq)	COG209	F	Ribonucleotide reductase, alpha subunit	TIGR02506 ribonucleoside-diphosphate reductase, alpha subunit	Purines, pyrimidines, nucleosides, and nucleotides:2'-Deoxyribonucleotide metabolism	GO:0006260,GO:0005971,GO:0004748,GO:0005515	1.17.4.1	Ribonucleoside-diphosphate reductase.
3660242	YP_001481602.1	157414346	57174	31794	30409	-	C8J_0024	C8J_0024	putative transmembrane symporter (RefSeq)	COG1823	R	Predicted Na+/dicarboxylate symporter			GO:0006835,GO:0016020,GO:0017153		
3660243	YP_001481603.1	157414347	57174	32537	31914	-	C8J_0025	C8J_0025	probable thymidylate synthase (RefSeq)	COG1351	F	Predicted alternative thymidylate synthase	TIGR02170 thymidylate synthase, flavin-dependent [thyX]	Purines, pyrimidines, nucleosides, and nucleotides:2'-Deoxyribonucleotide metabolism	GO:0006231,GO:0050660,GO:0050797	2.1.1.148	Thymidylate synthase (FAD).
3660244	YP_001481604.1	157414348	57174	32656	34287	+	C8J_0026	pyrG	CTP synthetase (RefSeq)	COG504	F	CTP synthase (UTP-ammonia lyase)	TIGR00337 CTP synthase [pyrG]	Purines, pyrimidines, nucleosides, and nucleotides:Pyrimidine ribonucleotide biosynthesis	GO:0006221,GO:0003883	6.3.4.2	CTP synthase.
3660245	YP_001481605.1	157414349	57174	34274	35845	+	C8J_0027	recJ	putative single-stranded-DNA-specific exonuclease (RefSeq)	COG608	L	Single-stranded DNA-specific exonuclease	TIGR00644 single-stranded-DNA-specific exonuclease RecJ [recJ]	DNA metabolism:DNA replication, recombination, and repair	GO:0006281,GO:0006310,GO:0003676,GO:0030145,GO:0008409	3.1.-.-	
3660246	YP_001481606.1	157414350	57174	35982	36977	+	C8J_0028	ansA	L-asparaginase (RefSeq)	COG252	EJ	L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D	TIGR00520 L-asparaginases, type II	Energy metabolism:Amino acids and amines	GO:0006528,GO:0004067	3.5.1.1	Asparaginase.
3660247			57174	37565	39077	+	C8J_Cj16SA	C8J_Cj16SA	16S ribosomal RNA (RefSeq)								
3660248			57174	39182	39257	+	C8J_t0001	C8J_t0001	tRNA-Ala (RefSeq)								
3660249			57174	39266	39342	+	C8J_t0002	C8J_t0002	tRNA-Ile (RefSeq)								
3660250			57174	39883	42837	+	C8J_Cj23SA	C8J_Cj23SA	23S ribosomal RNA (RefSeq)								
3660251			57174	43122	43241	+	C8J_Cj5SA	C8J_Cj5SA	5S ribosomal RNA (RefSeq)								
3660252	YP_001481607.1	157414351	57174	43640	45610	+	C8J_0029	C8J_0029	hypothetical protein (RefSeq)								
3660253	YP_001481608.1	157414352	57174	45651	47720	+	C8J_0030	C8J_0030	hypothetical protein (RefSeq)	COG2864	C	Cytochrome b subunit of formate dehydrogenase					
3660254	YP_001481609.1	157414353	57174	47764	48348	+	C8J_0031	C8J_0031	hypothetical protein (RefSeq)	COG2143	O	Thioredoxin-related protein			GO:0045454		
3660255	YP_001481610.1	157414354	57174	48341	51046	+	C8J_0032	C8J_0032	hypothetical protein (RefSeq)	COG755	O	ABC-type transport system involved in cytochrome c biogenesis, permease component			GO:0008535,GO:0016020		
3660256	YP_001481611.1	157414355	57174	52751	51081	-	C8J_0033	C8J_0033	hypothetical protein (RefSeq)	COG405	E	Gamma-glutamyltransferase	TIGR00066 gamma-glutamyltransferase [ggt]	Biosynthesis of cofactors, prosthetic groups, and carriers:Glutathione and analogs	GO:0003840	2.3.2.2	Gamma-glutamyltransferase.
3660257	YP_001481612.1	157414356	57174	52981	56685	+	C8J_0034	C8J_0034	hypothetical protein (RefSeq)	COG1002	V	Type II restriction enzyme, methylase subunits			GO:0006304,GO:0032259,GO:0003677,GO:0008168		
3660258	YP_001481613.1	157414357	57174	56687	59428	+	C8J_0035	C8J_0035	hypothetical protein (RefSeq)								
3660259	YP_001481614.1	157414358	57174	59450	61147	+	C8J_0036	C8J_0036	hypothetical protein (RefSeq)								
3660260	YP_001481615.1	157414359	57174	61878	61177	-	C8J_0037	C8J_0037	putative periplasmic protein (RefSeq)	COG2859	S	Uncharacterized protein conserved in bacteria					
3660261	YP_001481616.1	157414360	57174	63077	61875	-	C8J_0038	C8J_0038	drug resistance transporter, Bcr/CflA family (RefSeq)	COG738	G	Fucose permease	TIGR00710 drug resistance transporter, Bcr/CflA subfamily		GO:0006810,GO:0016021,GO:0005215		
3660262	YP_001481617.1	157414361	57174	63180	64529	+	C8J_0039	C8J_0039	hypothetical protein (RefSeq)	COG4487	S	Uncharacterized protein conserved in bacteria					
3660263	YP_001481618.1	157414362	57174	65596	64553	-	C8J_0040	C8J_0040	putative cytochrome c (RefSeq)	COG3258	C	Cytochrome c			GO:0006118,GO:0005506,GO:0009055,GO:0020037		
3660264	YP_001481619.1	157414363	57174	66421	65774	-	C8J_0041	C8J_0041	hypothetical protein (RefSeq)								
3660265	YP_001481620.1	157414364	57174	68229	66421	-	C8J_0042	typA	GTP-binding protein typA-like protein (RefSeq)	COG1217	T	Predicted membrane GTPase involved in stress response	TIGR00231 small GTP-binding protein domain,TIGR01394 GTP-binding protein TypA/BipA [typA]	Protein synthesis:Translation factors	GO:0005622,GO:0003924,GO:0005525		
3660266	YP_001481621.1	157414365	57174	68364	68687	+	C8J_0043	C8J_0043	hypothetical protein (RefSeq)						GO:0009401,GO:0005351		
3660267	YP_001481622.1	157414366	57174	68708	70525	+	C8J_0044	C8J_0044	hypothetical protein (RefSeq)						GO:0009296,GO:0009424,GO:0003774		
3660268	YP_001481623.1	157414367	57174	70579	71463	+	C8J_0045	flgD	putative flagellar hook assembly protein (RefSeq)	COG1843	N	Flagellar hook capping protein					
3660269	YP_001481624.1	157414368	57174	71467	73104	+	C8J_0046	flgE	flagellar hook protein flgE (RefSeq)	COG1749	N	Flagellar hook protein FlgE	TIGR03506 fagellar hook-basal body proteins		GO:0001539,GO:0030694,GO:0009288,GO:0003774,GO:0005198		
3660270	YP_001481625.1	157414369	57174	74979	73108	-	C8J_0047	C8J_0047	hypothetical protein (RefSeq)								
3660271	YP_001481626.1	157414370	57174	75699	74980	-	C8J_0048	C8J_0048	hypothetical protein (RefSeq)	COG2703	P	Hemerythrin	TIGR02481 hemerythrin-like metal-binding domain		GO:0046872		
3660272			57174	76120	77623	+	C8J_0049	C8J_0049									
3660273	YP_001481627.1	157414371	57174	78667	77651	-	C8J_0050	trmU	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase (RefSeq)	COG482	J	Predicted tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain	TIGR00420 tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase [trmU]	Protein synthesis:tRNA and rRNA base modification	GO:0008033,GO:0005737,GO:0004808	2.1.1.61	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase.
3660274	YP_001481628.1	157414372	57174	79272	78667	-	C8J_0051	C8J_0051	hypothetical protein (RefSeq)	COG1611	R	Predicted Rossmann fold nucleotide-binding protein	TIGR00730 TIGR00730 family protein	Hypothetical proteins:Conserved			
3660275	YP_001481629.1	157414373	57174	80183	79341	-	C8J_0052	fliY	putative flagellar motor switch protein (RefSeq)	COG1868	N	Flagellar motor switch protein	TIGR02480 flagellar motor switch protein FliN [fliN]	Cellular processes:Chemotaxis and motility	GO:0006935,GO:0001539,GO:0009425,GO:0016020,GO:0003774		
3660276	YP_001481630.1	157414374	57174	81259	80180	-	C8J_0053	fliM	flagellar motor switch protein (RefSeq)	COG1868	N	Flagellar motor switch protein	TIGR01397 flagellar motor switch protein FliM [fliM]	Cellular processes:Chemotaxis and motility	GO:0001539,GO:0006935,GO:0009425,GO:0003774		
3660277	YP_001481631.1	157414375	57174	81951	81259	-	C8J_0054	fliA	RNA polymerase sigma factor, sigma-F (RefSeq)	COG1191	K	DNA-directed RNA polymerase specialized sigma subunit	TIGR02479 RNA polymerase sigma factor, FliA/WhiG family,TIGR02937 RNA polymerase sigma factor, sigma-70 family		GO:0006352,GO:0006355,GO:0003700,GO:0003899,GO:0016987		
3660278	YP_001481632.1	157414376	57174	82288	81932	-	C8J_0055	C8J_0055	putative integral membrane protein (RefSeq)								
3660279	YP_001481633.1	157414377	57174	83173	82307	-	C8J_0056	C8J_0056	putative ATP-binding protein (RefSeq)	COG455	D	ATPases involved in chromosome partitioning			GO:0009236,GO:0042242		
3660280	YP_001481634.1	157414378	57174	84620	83166	-	C8J_0057	flhF	flagellar biosynthesis protein (RefSeq)	COG1419	N	Flagellar GTP-binding protein	TIGR03499 flagellar biosynthesis protein FlhF [flhF]	Cellular processes:Chemotaxis and motility	GO:0006614,GO:0016020,GO:0017111,GO:0008312,GO:0005525		
3660281	YP_001481635.1	157414379	57174	85103	84630	-	C8J_0058	folK	putative 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (RefSeq)	COG801	H	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	TIGR01498 2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase [folK]	Biosynthesis of cofactors, prosthetic groups, and carriers:Folic acid	GO:0009396,GO:0003848	2.7.6.3	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase.
3660282	YP_001481636.1	157414380	57174	85585	85106	-	C8J_0059	aroQ	3-dehydroquinate dehydratase (RefSeq)	COG757	E	3-dehydroquinate dehydratase II	TIGR01088 3-dehydroquinate dehydratase, type II [aroQ]	Amino acid biosynthesis:Aromatic amino acid family	GO:0009073,GO:0003855	4.2.1.10	3-dehydroquinate dehydratase.
3660283	YP_001481637.1	157414381	57174	85676	86905	+	C8J_0060	C8J_0060	chlorohydrolase (RefSeq)	COG402	FR	Cytosine deaminase and related metal-dependent hydrolases			GO:0016787,GO:0016810	3.8.1.-	
3660284	YP_001481638.1	157414382	57174	86893	87789	+	C8J_0061	sppA	signal peptide peptidase SppA, 36K type (RefSeq)	COG616	OU	Periplasmic serine proteases (ClpP class)	TIGR00706 signal peptide peptidase SppA, 36K type [sppA]	Protein fate:Degradation of proteins, peptides, and glycopeptides	GO:0006508,GO:0008462,GO:0008233	3.4.21.-	
3660285	YP_001481639.1	157414383	57174	87868	88899	+	C8J_0062	C8J_0062	hypothetical protein (RefSeq)								
3660286	YP_001481640.1	157414384	57174	89081	88896	-	C8J_0063	C8J_0063	hypothetical protein (RefSeq)								
3660287	YP_001481641.1	157414385	57174	89750	89142	-	C8J_0064	C8J_0064	hypothetical protein (RefSeq)	COG2703	P	Hemerythrin	TIGR02481 hemerythrin-like metal-binding domain		GO:0046872		
3660288	YP_001481642.1	157414386	57174	90400	89753	-	C8J_0065	C8J_0065	hypothetical protein (RefSeq)	COG2703	P	Hemerythrin	TIGR02481 hemerythrin-like metal-binding domain		GO:0046872		
3660289	YP_001481643.1	157414387	57174	91235	90579	-	C8J_0066	C8J_0066	hypothetical protein (RefSeq)	COG1556	S	Uncharacterized conserved protein			GO:0009396,GO:0005524,GO:0030272		
3660290	YP_001481644.1	157414388	57174	92667	91228	-	C8J_0067	C8J_0067	iron-sulfur cluster binding protein (RefSeq)	COG1139	C	Uncharacterized conserved protein containing a ferredoxin-like domain	TIGR00273 iron-sulfur cluster-binding protein	Energy metabolism:Electron transport	GO:0009396,GO:0006118,GO:0051536,GO:0009055,GO:0016491,GO:0005524,GO:0005509,GO:0030272		
3660291	YP_001481645.1	157414389	57174	93401	92664	-	C8J_0068	C8J_0068	cysteine-rich domain protein (RefSeq)	COG247	C	Fe-S oxidoreductase			GO:0009339,GO:0008891	1.1.3.15	(S)-2-hydroxy-acid oxidase.
3660292	YP_001481646.1	157414390	57174	95206	93524	-	C8J_0069	lctP	L-lactate permease (RefSeq)	COG1620	C	L-lactate permease	TIGR00795 transporter, lactate permease (LctP) family	Transport and binding proteins:Carbohydrates, organic alcohols, and acids	GO:0015727,GO:0015129		
3660293	YP_001481647.1	157414391	57174	95947	95378	-	C8J_0070	cdtC	cytolethal distending toxin (RefSeq)						GO:0009405,GO:0009279		
3660294	YP_001481648.1	157414392	57174	96755	95958	-	C8J_0071	cdtB	cytolethal distending toxin, type I deoxyribonuclease-like protein (RefSeq)						GO:0009405		
3660295	YP_001481649.1	157414393	57174	97558	96752	-	C8J_0072	cdtA	cytolethal distending toxin (RefSeq)						GO:0009405,GO:0009279		
3660296	YP_001481650.1	157414394	57174	97672	97905	+	C8J_0073	C8J_0073	hypothetical protein (RefSeq)								
3660297	YP_001481651.1	157414395	57174	97906	99468	+	C8J_0074	cydA	cytochrome d ubiquinol oxidase, subunit I (RefSeq)	COG1271	C	Cytochrome bd-type quinol oxidase, subunit 1			GO:0006118,GO:0016020,GO:0016491	1.10.3.-	
3660298	YP_001481652.1	157414396	57174	99468	100592	+	C8J_0075	cydB	cytochrome bd oxidase subunit II (RefSeq)	COG1294	C	Cytochrome bd-type quinol oxidase, subunit 2	TIGR00203 cytochrome d ubiquinol oxidase, subunit II [cydB]	Energy metabolism:Electron transport	GO:0006118,GO:0016020	1.10.3.-	
3660299	YP_001481653.1	157414397	57174	100602	100706	+	C8J_0076	C8J_0076	hypothetical protein (RefSeq)								
3660300	YP_001481654.1	157414398	57174	101481	100786	-	C8J_0077	C8J_0077	putative amino acid recemase (RefSeq)	COG1794	M	Aspartate racemase	TIGR00035 aspartate racemase	Energy metabolism:Amino acids and amines	GO:0006520,GO:0047689	5.1.1.13	Aspartate racemase.
3660301	YP_001481655.1	157414399	57174	102296	101601	-	C8J_0078	ung	uracil-DNA glycosylase (RefSeq)	COG692	L	Uracil DNA glycosylase	TIGR00628 uracil-DNA glycosylase [ung]	DNA metabolism:DNA replication, recombination, and repair	GO:0006284,GO:0004844	3.2.2.-	
3660302	YP_001481656.1	157414400	57174	102567	103973	+	C8J_0079	aspA	aspartate ammonia-lyase (RefSeq)	COG1027	E	Aspartate ammonia-lyase	TIGR00839 aspartate ammonia-lyase [aspA]	Energy metabolism:Amino acids and amines	GO:0006531,GO:0006106,GO:0045239,GO:0008797,GO:0004333	4.3.1.1	Aspartate ammonia-lyase.
3660303	YP_001481657.1	157414401	57174	103990	105327	+	C8J_0081	C8J_0081	hypothetical protein (RefSeq)	COG2704	R	Anaerobic C4-dicarboxylate transporter	TIGR00770 transporter, anaerobic C4-dicarboxylate uptake (Dcu) family	Transport and binding proteins:Carbohydrates, organic alcohols, and acids	GO:0015740,GO:0016021,GO:0015556		
3660304	YP_001481658.1	157414402	57174	105435	106796	+	C8J_0082	C8J_0082	putative lipoprotein (RefSeq)	COG3014	S	Uncharacterized protein conserved in bacteria					
3660305	YP_001481659.1	157414403	57174	106806	107174	+	C8J_0083	C8J_0083	putative lipoprotein (RefSeq)								
3660306	YP_001481660.1	157414404	57174	107198	107821	+	C8J_0084	C8J_0084	putative lipoprotein (RefSeq)	COG3417	R	Collagen-binding surface adhesin SpaP (antigen I/II family)	TIGR02722 uncharacterized lipoprotein	Cell envelope:Other			
3660307	YP_001481661.1	157414405	57174	107903	109240	+	C8J_0085	C8J_0085	putative periplasmic protein (RefSeq)								
3660308	YP_001481662.1	157414406	57174	109250	110452	+	C8J_0086	C8J_0086	putative periplasmic protein (RefSeq)								
3660309	YP_001481663.1	157414407	57174	110611	110919	+	C8J_0087	rplU	50S ribosomal protein L21 (RefSeq)	COG261	J	Ribosomal protein L21	TIGR00061 ribosomal protein L21 [rplU]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003723,GO:0003735		
3660310	YP_001481664.1	157414408	57174	110930	111184	+	C8J_0088	rpmA	50S ribosomal protein L27 (RefSeq)	COG211	J	Ribosomal protein L27	TIGR00062 ribosomal protein L27 [rpmA]	Protein synthesis:Ribosomal proteins: synthesis and modification	GO:0006412,GO:0005840,GO:0003735		
3660311	YP_001481665.1	157414409	57174	111293	112330	+	C8J_0089	C8J_0089	GTP-binding protein, GTP1/Obg family (RefSeq)	COG536	R	Predicted GTPase	TIGR02729 Obg family GTPase CgtA [cgtA]	Protein synthesis:Other	GO:0015684,GO:0005622,GO:0016021,GO:0009276,GO:0005525,GO:0015093		
3660312	YP_001481666.1	157414410	57174	112453	113208	+	C8J_0090	proB	putative glutamate 5-kinase (RefSeq)	COG263	E	Glutamate 5-kinase	TIGR01027 glutamate 5-kinase [proB]	Amino acid biosynthesis:Glutamate family	GO:0006561,GO:0005737,GO:0004349	2.7.2.11	Glutamate 5-kinase.
3660313	YP_001481667.1	157414411	57174	113282	114199	+	C8J_0091	fmt	methionyl-tRNA formyltransferase (RefSeq)	COG223	J	Methionyl-tRNA formyltransferase	TIGR00460 methionyl-tRNA formyltransferase [fmt]	Protein synthesis:tRNA aminoacylation	GO:0006412,GO:0004479	2.1.2.9	Methionyl-tRNA formyltransferase.
3660314	YP_001481668.1	157414412	57174	114180	114815	+	C8J_0092	C8J_0092	biotin--protein ligase (RefSeq)	COG340	H	Biotin-(acetyl-CoA carboxylase) ligase	TIGR00121 biotin--[acetyl-CoA-carboxylase] ligase	Protein fate:Protein modification and repair	GO:0006464,GO:0004077	6.3.4.15	Biotin--[acetyl-CoA-carboxylase] ligase.
3660315	YP_001481669.1	157414413	57174	114812	115597	+	C8J_0093	C8J_0093	parA family protein (RefSeq)	COG1192	D	ATPases involved in chromosome partitioning			GO:0009236,GO:0000166,GO:0017111,GO:0042242		
3660316	YP_001481670.1	157414414	57174	115603	116439	+	C8J_0094	C8J_0094	parB family protein (RefSeq)	COG1475	K	Predicted transcriptional regulators	TIGR00180 ParB-like partition proteins		GO:0030542,GO:0003677		
3660317	YP_001481671.1	157414415	57174	116500	116925	+	C8J_0095	atpF'	ATP synthase F0 sector B' subunit (RefSeq)	COG711	C	F0F1-type ATP synthase, subunit b			GO:0015986,GO:0045259,GO:0003936,GO:0046961,GO:0046933	3.6.3.14	H(+)-transporting two-sector ATPase.
3660318	YP_001481672.1	157414416	57174	116936	117448	+	C8J_0096	atpF	ATP synthase F0 sector B subunit (RefSeq)	COG711	C	F0F1-type ATP synthase, subunit b			GO:0015986,GO:0045259,GO:0003936,GO:0046961,GO:0046933	3.6.3.14	H(+)-transporting two-sector ATPase.
3660319	YP_001481673.1	157414417	57174	117451	117972	+	C8J_0097	atpH	ATP synthase F1 sector delta subunit (RefSeq)	COG712	C	F0F1-type ATP synthase, delta subunit (mitochondrial oligomycin sensitivity protein)	TIGR01145 ATP synthase F1, delta subunit [atpH]	Energy metabolism:ATP-proton motive force interconversion	GO:0015986,GO:0045259,GO:0003936,GO:0046961,GO:0046933	3.6.3.14	H(+)-transporting two-sector ATPase.
3660320	YP_001481674.1	157414418	57174	117986	119491	+	C8J_0098	atpA	ATP synthase F1 sector alpha subunit (RefSeq)	COG56	C	F0F1-type ATP synthase, alpha subunit	TIGR00962 ATP synthase F1, alpha subunit [atpA]	Energy metabolism:ATP-proton motive force interconversion	GO:0015986,GO:0016021,GO:0045259,GO:0003936,GO:0005524,GO:0008553,GO:0046933,GO:0046961	3.6.3.14	H(+)-transporting two-sector ATPase.
3660321	YP_001481675.1	157414419	57174	119500	120384	+	C8J_0099	atpG	ATP synthase F1, gamma subunit (RefSeq)	COG224	C	F0F1-type ATP synthase, gamma subunit	TIGR01146 ATP synthase F1, gamma subunit [atpG]	Energy metabolism:ATP-proton motive force interconversion	GO:0015986,GO:0045259,GO:0003936,GO:0046961,GO:0046933	3.6.3.14	H(+)-transporting two-sector ATPase.
3660322	YP_001481676.1	157414420	57174	120409	121806	+	C8J_0100	atpD	ATP synthase F1 sector beta subunit (RefSeq)	COG55	C	F0F1-type ATP synthase, beta subunit	TIGR01039 ATP synthase F1, beta subunit [atpD]	Energy metabolism:ATP-proton motive force interconversion	GO:0015986,GO:0016021,GO:0045259,GO:0003936,GO:0005524,GO:0008553,GO:0046933,GO:0046961	3.6.3.14	H(+)-transporting two-sector ATPase.
3660323	YP_001481677.1	157414421	57174	121810	122199	+	C8J_0101	atpC	ATP synthase F1 sector epsilon subunit (RefSeq)	COG355	C	F0F1-type ATP synthase, epsilon subunit (mitochondrial delta subunit)	TIGR01216 ATP synthase F1, epsilon subunit [atpC]	Energy metabolism:ATP-proton motive force interconversion	GO:0015986,GO:0045259,GO:0003936,GO:0046961,GO:0046933	3.6.3.14	H(+)-transporting two-sector ATPase.
3660324	YP_001481678.1	157414422	57174	122199	122753	+	C8J_0102	exbB3	exbB/tolQ family transport protein (RefSeq)	COG811	U	Biopolymer transport proteins			GO:0006810,GO:0016020,GO:0008565		
3660325	YP_001481679.1	157414423	57174	122762	123151	+	C8J_0103	C8J_0103	TonB system transport protein ExbD, putative (RefSeq)	COG848	U	Biopolymer transport protein			GO:0006810,GO:0016020,GO:0005215		
3660326	YP_001481680.1	157414424	57174	123154	123933	+	C8J_0104	C8J_0104	periplasmic protein (RefSeq)								
3660327	YP_001481681.1	157414425	57174	123943	125151	+	C8J_0105	C8J_0105	TolB protein, putative (RefSeq)	COG823	U	Periplasmic component of the Tol biopolymer transport system			GO:0015031,GO:0042597,GO:0004867		
