Gene	Chr	Start	Stop
IFNB1	chr9	21077943	21077304
IFNG	chr12	68553521	68549132
IKBKB	chr8	42190171	42173764
IKBKE	chr1	206670223	206646570
IKBKG	chrX	153793261	153780217
IL10	chr1	206945839	206941980
IL12A	chr3	159713806	159706843
IL12B	chr5	158757481	158743692
IL18	chr11	112034840	112014318
IL1B	chr2	113594356	113587937
IL6	chr7	22771621	22766881
IL8	chr4	74609433	74606375
ILK	chr11	6632099	6625501
IRF1	chr5	131826465	131819642
IRF3	chr19	50169132	50162845
IRF7	chr11	615999	612644
IRF9	chr14	24635774	24631353
ITGA5	chr12	54813050	54790076
ITGAL	chr16	30534506	30484158
ITGB1	chr10	33224486	33195996
ITGB2	chr21	46348753	46306282
JAK1	chr1	65432187	65300244
KCNQ1	chr11	2870340	2482939
KDELR1	chr19	48894810	48886549
KDELR2	chr7	6523849	6502771
KDELR3	chr22	38879445	38864238
KLRB1	chr12	9760497	9747869
KLRK1	chr12	10542653	10525712
KRAS	chr12	25403854	25368374
LAMA4	chr6	112575917	112430639
LDLR	chr19	11244505	11200224
LRP1	chr12	57607125	57522747
MAD2L2	chr1	11751678	11734831
MAPK1	chr22	22221970	22123492
MAPK10	chr4	87281375	86938380
MAPK11	chr22	50708779	50703376
MAPK12	chr22	50700089	50691829
MAPK13	chr6	36112301	36098359
MAPK14	chr6	36079013	35995934
MAPK3	chr16	30134630	30127988
MAPK8	chr10	49643183	49609703
MAPK9	chr5	179719071	179663383
MET	chr7	116438440	116339138
MUC2	chr11	1104417	1074901
MYD88	chr3	38184512	38180152
NFKB1	chr4	103538459	103446675
NFKBIA	chr14	35873960	35871218
NR1H3	chr11	47290584	47280767
NRAS	chr1	115259515	115251155
OAS1	chr12	113355831	113344844
OAS2	chr12	113449528	113416413
OAS3	chr12	113411054	113376335
OCLN	chr5	68853931	68800071
PDIA4	chr7	148725782	148700885
PDK1	chr2	173463862	173420878
PECAM1	chr17	62407083	62396776
PIAS1	chr15	68480404	68346664
PIAS2	chr18	44497495	44392395
PIAS3	chr1	145586546	145576078
PIAS4	chr19	4038067	4007758
PIK3CA	chr3	178952497	178916613
PIK3CB	chr3	138478201	138374230
PIK3CD	chr1	9789172	9770513
PIK3CG	chr7	106547592	106508006
PIK3R1	chr5	67597649	67522503
PIK3R2	chr19	18281343	18266689
PIK3R3	chr1	46598708	46509344
PIK3R5	chr17	8869029	8783955
PLCB1	chr20	8865547	8113298
PLCB2	chr15	40600174	40580915
PLCB3	chr11	64036924	64019121
PLCB4	chr20	9461462	9288461
PLCG1	chr20	39804357	39766281
PLCG2	chr16	81991899	81819594
PPARA	chr22	46639653	46594280
PPP2CA	chr5	133561950	133533462
PPP2CB	chr8	30670352	30643750
PPP2R1A	chr19	52729678	52693349
PPP2R1B	chr11	111637169	111597688
PPP2R2A	chr8	26230195	26150762
PPP2R2B	chr5	146461083	145969509
PPP2R2C	chr4	6565327	6325028
PPP2R2D	chr10	133770053	133758824
PRKACA	chr19	14224992	14203923
PRKACB	chr1	84704181	84630095
PRKACG	chr9	71629039	71627952
PRKCA	chr17	64806862	64298969
PRKCG	chr19	54410901	54385748
PRKX	chrX	3631675	3530240
PSME3	chr17	40995777	40986198
PTK2	chr8	142011412	141669564
PXN	chr12	120703574	120650116
RAC1	chr7	6443598	6414366
RAF1	chr3	12705700	12626012
RELA	chr11	65430443	65421848
RHOA	chr3	49449526	49397641
RHOG	chr11	3862213	3848792
RIPK1	chr6	3115421	3077057
RNASEL	chr1	182558394	182544526
RXRA	chr9	137332431	137218477
SCARB1	chr12	125348519	125267228
SDC1	chr2	20425194	20402526
SDC2	chr8	97624037	97506499
TGFB1	chr19	41859831	41836956
TGFB2	chr1	218617961	218520043
TGFB3	chr14	76448092	76425529
THBS1	chr15	39889668	39874058
THBS2	chr6	169654137	169617916
THBS3	chr1	155177772	155165631
THBS4	chr5	79379107	79331360
THOP1	chr19	2813599	2785660
TICAM1	chr19	4831754	4816250
TJP1	chr15	30114706	29993798
TJP2	chr9	71870124	71789288
TLR2	chr4	154627242	154624059
TLR3	chr4	187006252	186997773
TLR4	chr9	120479769	120470867
TLR9	chr3	52260179	52255232
TNF	chr6	31546112	31543518
TNFRSF1A	chr12	6451283	6438477
TP53	chr17	7590868	7576624
TRADD	chr16	67193812	67188551
TRAF2	chr9	139821067	139793192
TRAF3	chr14	103377837	103336538
TRAF6	chr11	36531863	36511387
TYK2	chr19	10491248	10461509
VCAM1	chr1	101204601	101185416
VCL	chr10	75879914	75757965
WAS	chrX	48549817	48542242
WASF1	chr6	110501207	110421724
WASF2	chr1	27816678	27734682
WASL	chr7	123389116	123324572
